,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b0002,1.9439740757206576e-05,2.724970571874942e-05,1.5258530551110847e-05,1.1672606750959596e-05,1.347987741833351e-05,1.3586157238044073e-05,7.410269751273942e-06,8.32951911691752e-06,8.736381439332006e-06,1.5760580333631e-05,1.7555826716870587e-05,1.1975394697666355e-05,2.0236966432236457e-05,2.2881862690631693e-05,1.39508023838231e-05,1.4396678537874006e-05,2.5798208050395467e-05,2.7525054752170142e-05,2.8436547295011113e-05,1.6337090662399933e-05,1.5994990823879784e-05,1.707671684543561e-05,1.717177702423538e-05,1.7351611496372317e-05,1.7047845880234765e-05,1.826005154829188e-05,1.749507968529891e-05,8.084560174170812e-06,8.79915800302864e-06,3.8784044936465395e-06,4.946731898234558e-06,4.720844073358716e-06,4.612950869047644e-06,6.866538102473285e-06,2.0492942293519972e-05,6.780870710674542e-06,7.441570404533591e-06,1.0015146974071348e-05,8.919163961484916e-06,8.364259581227684e-06,1.4849318327256234e-05,1.157394004754235e-05,1.677910823809839e-05,1.010508451426168e-05,9.072203007629554e-06,1.6389865946185473e-05,7.618942291459948e-06,7.338709828700726e-06,1.0729651413063653e-05,2.3239136437219376e-06,1.6184276825448053e-06,2.533456679329403e-06,1.4544141981406486e-06,6.4606034287625725e-06,8.46447135155848e-06,1.0079873805555339e-05,1.5214461426831842e-05,1.5180093303102602e-05
b0003,3.842386274553282e-06,4.41906876240473e-06,3.002065678576034e-06,2.139611770447394e-06,2.430702116718656e-06,2.5987855135977557e-06,1.4890039429097646e-06,2.275360316020306e-06,1.905954441421354e-06,2.7914933083936926e-06,3.047675932828245e-06,2.1002045522129007e-06,3.9078062217839854e-06,4.069013604594958e-06,2.7840024831710093e-06,2.6762836808837194e-06,4.266160121045079e-06,5.051390995947606e-06,4.481756358410353e-06,3.3091078091789802e-06,2.9870533376383534e-06,3.5410091821498818e-06,3.2428396956705217e-06,3.550695256776247e-06,3.3756217334680614e-06,3.816863578279067e-06,3.2809143559884014e-06,1.5866323592059465e-06,1.005915480856337e-06,4.010188252355569e-07,4.258759785234654e-07,6.942705715084811e-07,8.321290890837859e-07,4.370236523989264e-07,1.6934075277963787e-06,8.986364351818321e-07,7.81100813347641e-07,1.3243594938549117e-06,8.428493008269447e-07,4.408662218029677e-07,6.10772291434291e-07,2.7439742861266365e-06,2.113882098169858e-06,1.0526137084891309e-06,1.433243103265502e-06,1.2107586305666934e-06,9.840812261423122e-07,1.4153662199339322e-06,1.1808418916872717e-06,3.9166331018981415e-07,2.9254225335642666e-07,5.179258077071227e-07,2.2779897986748235e-07,7.729053886986191e-07,1.007544570176592e-06,1.2044945500832583e-06,1.9121860466104313e-06,1.9577753878969515e-06
b0004,1.9567498415597566e-05,2.9625458504970277e-05,1.4953293350608027e-05,1.0849900238953721e-05,2.2543358432005248e-05,2.246156932344695e-05,1.609691890228422e-05,1.8936335954216208e-05,1.75487968062678e-05,2.4436363529066155e-05,2.6525213800405027e-05,2.0270175096886152e-05,2.9288705711608994e-05,3.1297995627937586e-05,2.4227312647485328e-05,2.2927270057803942e-05,3.476406876876543e-05,3.869497586349641e-05,3.7856709112866914e-05,2.6077753462081156e-05,2.503030861901282e-05,2.707224396047561e-05,2.636073214795401e-05,2.7209904344616702e-05,2.604899692552411e-05,2.879910324014978e-05,2.3555775959677058e-05,1.567353753929569e-05,1.6831826335917195e-05,7.922651008401588e-06,8.281357260633697e-06,1.0645983013181636e-05,1.2254033385790487e-05,1.0679508667092414e-05,3.952346305509527e-05,1.7567281440956555e-05,1.9731820841064907e-05,1.731018676740168e-05,2.1174444392314906e-05,1.7424927685845553e-05,1.640347575855191e-05,3.160243456464329e-05,3.0614822413271485e-05,2.588355298212206e-05,1.6389720084555814e-05,2.466083895402203e-05,1.2589009241438904e-05,2.293948976491856e-05,2.0306804665038717e-05,4.5425770516943e-06,4.471678215006543e-06,4.107021692757908e-06,1.6320553926953291e-06,1.6265934799373923e-05,2.037783172273957e-05,1.9510225296180876e-05,2.483059199916801e-05,2.7950140799452577e-05
b0006,1.2086303801500803e-06,1.2946408023210054e-06,1.7102879804999895e-06,1.10335761057915e-06,8.926702654770905e-07,,8.15782542933933e-07,,1.2120908640525145e-06,1.104423247339551e-06,,1.008729437139017e-06,,,9.10303373876584e-07,,,,1.0494676128271714e-06,8.06409051662329e-07,,8.550166361104382e-07,,,,9.254440040097935e-07,,3.36667976319121e-07,2.800901445210735e-07,4.842046745331982e-07,7.019067053442299e-07,8.807937422351463e-07,9.440568508756261e-07,7.664267709385315e-07,1.147060031160042e-06,1.0280602095925132e-06,1.0487686093571052e-06,1.4340057661215413e-06,1.1420017154917774e-06,1.240505677198554e-06,8.633044017636204e-07,9.652299552058297e-07,1.330342911840734e-06,1.4235063806398653e-06,9.284351495492932e-07,1.4201789721739369e-06,1.1372513354842179e-06,1.027974230841412e-06,9.367077026038286e-07,1.1912944546694577e-06,9.185246238883836e-07,1.2959640058416659e-06,8.855168876427357e-07,2.946198600801051e-07,3.6536888198832515e-07,4.234374248632084e-07,4.353127941166507e-07,4.968533729173284e-07
b0008,3.741297841651694e-05,3.979537514491246e-05,2.585447318285114e-05,1.2792967239261746e-05,7.889255831547194e-05,7.621002528655031e-05,6.926481144326564e-05,7.305050177133417e-05,7.223812762542132e-05,8.114521889937962e-05,7.966010019721385e-05,7.982875008348088e-05,8.087654993934487e-05,8.166018978856514e-05,8.320231997012255e-05,8.252053309617966e-05,8.193847497767992e-05,8.378480157469843e-05,8.481677855226303e-05,8.732738323235037e-05,8.935432253822127e-05,8.749368984229014e-05,8.822896269899251e-05,8.71115297964897e-05,8.568047954089502e-05,8.605850838811402e-05,7.946068966383358e-05,2.0676917426130026e-05,2.397598054765042e-05,9.995861659378333e-06,1.1803180323658526e-05,1.7581721432094287e-05,1.4706533418844336e-05,1.4575652942566778e-05,2.2586428998690372e-05,1.919275529529551e-05,1.8750554289561832e-05,1.8876981870789206e-05,2.1531730917507154e-05,1.738158441786544e-05,1.8648561043708638e-05,2.4487349027279966e-05,2.409976369641235e-05,1.8832623360230464e-05,2.268219914265152e-05,2.126938200535371e-05,3.280467753544118e-05,1.5510859237675882e-05,1.0672565945619164e-05,2.417376273490423e-05,1.5196720699598577e-05,1.854528855716622e-05,1.2188307207597093e-05,3.157177618622378e-05,3.557125965657167e-05,3.60174414327169e-05,3.754040722010963e-05,3.832211849702585e-05
b0009,6.956998475987728e-07,6.136999309278708e-07,6.360674344972915e-07,1.300819322909086e-07,,4.808605927288133e-07,5.616469205298638e-07,,,4.5426468703238715e-07,,,,,,,,,3.6596739434249254e-07,2.932957340469254e-07,4.7672068501371573e-07,,,,,,,,,5.4186006896839876e-08,5.929459346517916e-08,,1.0534248886389976e-07,5.648348299571615e-08,9.747866660071386e-08,1.3477268288931024e-07,,1.2255261224966926e-07,8.314130823625356e-08,,6.317043974682557e-08,,,8.361164285478984e-08,,,,2.595304921730411e-07,2.750507457796e-07,1.712960396583407e-07,4.59464541055572e-07,2.1254945107031377e-07,4.5856403217522927e-07,9.739312368660011e-07,8.580960672836947e-07,8.365593806715198e-07,6.529440314943543e-07,6.054928738418284e-07
b0014,4.549821861751725e-05,8.218212534557239e-05,3.3589557298242005e-05,1.607220885994515e-05,6.297198885025736e-05,6.359765170938814e-05,6.725137847719298e-05,6.689640744362863e-05,6.884140489108217e-05,6.176080389007329e-05,5.995843783272149e-05,7.267678002963144e-05,5.9708602710756295e-05,5.8430648502946304e-05,6.992267305191372e-05,7.546100919382951e-05,6.117311728534685e-05,5.934204195292639e-05,6.133831232168571e-05,7.795729844886562e-05,7.545419644432425e-05,7.508129731668463e-05,7.375451640014576e-05,7.35266047720383e-05,7.359092927524525e-05,6.984897873766143e-05,6.845073914493265e-05,0.00010715397903179243,0.00010603591427456488,2.5440303754191983e-05,2.540285861170881e-05,2.511489411329904e-05,3.101057528926772e-05,2.7808890159162254e-05,2.6646517107719826e-05,3.337821906679702e-05,3.835624516583563e-05,3.349189463839939e-05,3.3735338701242124e-05,3.449314065742209e-05,2.897979932593947e-05,3.735236845640252e-05,3.328806102384378e-05,3.2965028582458605e-05,5.862564518183702e-05,3.1858241589816985e-05,7.596009833572477e-05,3.0414196053939787e-05,3.301112142967634e-05,5.072094390547952e-05,5.107563864081082e-05,7.010733862254569e-05,4.1200177296375076e-05,4.068038568105901e-05,3.583976376816645e-05,3.5100723309584644e-05,3.389743642417123e-05,3.4016844268401806e-05
b0015,4.6012780774608404e-06,6.4807906548290395e-06,2.8037688023284072e-06,1.42736420396493e-06,2.6609261573710853e-06,2.7352781591146285e-06,2.7600503050987235e-06,2.924289679524919e-06,2.616367692851898e-06,2.820873180556316e-06,2.7033969037705096e-06,2.8554672217429817e-06,2.805669539330918e-06,2.590294299671443e-06,2.8094433549761797e-06,2.821890550941869e-06,2.8576855593714028e-06,2.651265107710348e-06,2.8070652917543885e-06,3.129388577504705e-06,3.068153239891852e-06,2.878586579150557e-06,2.9781981927676917e-06,2.7672031969741752e-06,2.812532870100117e-06,2.6753402316888372e-06,2.5180194857491533e-06,2.0471803129861617e-06,1.4939189361149823e-06,9.698924460293596e-07,1.0906479629500903e-06,9.68818470998487e-07,1.0811442932891664e-06,1.2195526189353457e-06,1.1854637676610045e-06,1.4985858587625866e-06,1.1654978252647592e-06,1.3831486407121813e-06,1.413383179652203e-06,1.122026453907276e-06,1.2475834493558734e-06,1.1971499072591898e-06,1.3945857665894758e-06,1.2197129676040966e-06,1.4454537059426543e-06,1.0287759406644656e-06,3.0362162232133218e-06,1.2551326006145327e-06,1.4765889623172644e-06,1.961929559915633e-06,1.7381235248216585e-06,2.358242082999822e-06,1.741465379986024e-06,2.398472353666646e-06,2.4856254873402144e-06,2.4541758865630894e-06,2.069383731134812e-06,1.8565831524364748e-06
b0023,4.9458305355527545e-05,6.493522093480573e-05,3.386591426143814e-05,2.6601812513938457e-05,6.228664201446535e-05,6.390873821407548e-05,6.482996637940458e-05,6.876409016653489e-05,7.23158979236598e-05,6.806411719746926e-05,7.660191942052205e-05,8.748426655816034e-05,8.192928897170433e-05,9.072058652298639e-05,9.227604542692337e-05,0.00010117564740298445,0.0001016276885537694,0.00010498909785759992,0.00010583955201440707,0.00010929179611732372,0.00010913427536759104,0.00011998407408758884,0.00013065132783019934,0.0001325693382377007,0.0001361024025796544,0.00014271562785314224,0.00014179716616658842,2.8101633526395983e-05,2.7521514190461137e-05,2.1297722614017597e-05,2.2477537707423646e-05,2.5221771525822353e-05,2.3772003906505777e-05,2.5351879615249113e-05,3.206092063299861e-05,3.6179383004738656e-05,3.535225731411823e-05,3.8305978657936334e-05,4.0173567549786366e-05,3.306536690286883e-05,3.5623844324375146e-05,4.851222885706773e-05,3.9974205568930483e-05,5.1103599119229036e-05,4.33164174565401e-05,4.589173344793823e-05,5.115523675355766e-05,5.236881850748211e-05,6.30637629229261e-05,5.840061124444641e-05,6.808861467720425e-05,8.755578239915414e-05,9.048671056797821e-05,5.5556449403529006e-05,6.1033913152318026e-05,6.397960855950664e-05,7.627957258312077e-05,8.573231618949963e-05
b0025,1.5054238805589154e-06,1.986092229206871e-06,1.2050092203239006e-06,6.13453442936431e-07,,3.5887665369589662e-06,2.9780798143046216e-06,,,,,,,,,,3.2604118533765327e-06,,3.2685280079957615e-06,,,,,,,3.745828790248167e-06,,2.2716046641317243e-07,2.5360958066673443e-07,2.3313754580297233e-07,3.0791578360864963e-07,2.6063607608741914e-07,2.1810161401541368e-07,2.380525114823167e-07,2.837408141792822e-07,2.585900087835024e-07,2.26105563912687e-07,2.808473356726082e-07,2.940061163558485e-07,2.1467688094106461e-07,3.375138419757103e-07,1.9042000573756775e-07,2.6961438395253837e-07,2.834362048629101e-07,2.5870677739609995e-07,2.887753342708212e-07,3.0117319702593185e-07,1.5518491007464463e-07,1.7063096394513274e-07,2.2836844311560662e-07,1.39645149322995e-07,2.5140913493963375e-07,1.6817746147679362e-07,,,,,
