,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
CSND,3.2606946085723e-06,4.47047798836098e-06,5.312563331274311e-06,2.93170608870979e-06,5.419395205914151e-06,2.8729013086453e-06,6.7487143314677204e-06,3.91609531107397e-06,6.22209840766212e-06,4.56440493872903e-06,7.95045907645715e-06,6.86859280972406e-06,5.46669036552189e-06,8.88841197003412e-06,1.06375129668547e-05,6.02720946072625e-06,1.16804312555545e-05,1.4124527679252e-05,8.78092059560395e-06,6.7362254309496104e-06,1.11350647115129e-05,7.75375611886932e-06,8.38823751927473e-06,1.05165594390481e-05,6.702e-06,7.83827756142706e-06,6.59021311768396e-06,1.08611860711986e-05,7.0481453427615096e-06,1.0074072119202199e-05,6.916379317213589e-06
GTPDPDP,,1.0593549735452599e-07,1.5e-07,,,,1.41167438782388e-07,,9.18875292270777e-08,,,1.34184963315733e-07,,1.57e-07,,,1.22826787287039e-07,1.40426124400185e-07,1.69e-07,,1.1436218464409001e-07,1.02925966179681e-07,,1.1971892637834898e-07,,9.01780667444439e-08,,2.1261701933830898e-07,9.617352319557619e-08,1.3259831679003998e-07,1.14822703508429e-07
3OAR120_reverse,1.82961197481001e-05,9.253465693917822e-06,9.28972822955071e-06,2.07657136754591e-05,1.74557864153354e-05,2.06592885618053e-05,1.15256383083298e-05,2.1986696104565302e-05,1.10308791038792e-05,2.1470882498330302e-05,1.75312654572005e-05,1.04035279370729e-05,2.23098123385183e-05,1.34735121665327e-05,1.77828622634174e-05,2.1756160891733397e-05,1.3289065953571901e-05,1.63752463953327e-05,1.35017217382099e-05,2.17218865547105e-05,1.3311758292572099e-05,1.33384428023224e-05,1.9070999999999997e-05,1.1193719616375599e-05,2.1173833889103197e-05,1.38261011932581e-05,1.3068605432604801e-05,1.65664094234432e-05,1.33269024999584e-05,1.32972312042524e-05,1.09284196633316e-05
NTD10,,5.9853556005307e-07,6.09638415064265e-07,,,,5.373470250426389e-07,,5.82e-07,,,5.32546573159313e-07,,7.48752095301787e-07,,,7.13187797150547e-07,5.89e-07,5.262406481179971e-07,,5.641867775775121e-07,5.870592145063301e-07,,4.1527502587489705e-07,,5.55496891145774e-07,3.93176371005775e-07,5.70522335224461e-07,2.61e-07,3.8079516616626797e-07,3.9850232394101796e-07
NTD11,,5.9853556005307e-07,6.09638415064265e-07,,,,5.373470250426389e-07,,5.82e-07,,,5.32546573159313e-07,,7.48752095301787e-07,,,7.13187797150547e-07,5.89e-07,5.262406481179971e-07,,5.641867775775121e-07,5.870592145063301e-07,,4.1527502587489705e-07,,5.55496891145774e-07,3.93176371005775e-07,5.70522335224461e-07,2.61e-07,3.8079516616626797e-07,3.9850232394101796e-07
PMEACPE,,7.4154848148168e-08,7.74144019129226e-08,,,,8.65219786085606e-08,,2.6691139442151104e-07,,,1.00638722486799e-07,,1.44919760380991e-07,,,7.924308857228299e-08,8.971669058900721e-08,8.066462489399951e-08,,9.911389335821151e-08,6.86173107864541e-08,,1.0099999999999999e-07,,9.73923120839994e-08,9.73923120839994e-08,2.41e-07,1.58e-07,1.0199999999999999e-07,
XTSNH,1.258e-06,1.499e-06,1.5869999999999998e-06,,1.31333532845273e-06,,6.238690036512e-07,3.6310144612426293e-07,9.23250888900638e-07,,9.41e-07,1.60183299958156e-06,,1.02651496936535e-06,5.03193612433997e-07,,1.4501485208727801e-06,1.0063872248679899e-06,5.91540582555996e-07,,8.081594381515709e-07,1.20080293876295e-06,1.71085828227559e-07,1.0924352032024299e-06,,2.2364160552622103e-07,2.27248728195999e-07,1.48831913536816e-07,9.617352319557619e-08,2.9239628830624104e-07,1.75611193601126e-07
P5CD,,5.03193612433997e-07,5.22547212912228e-07,,,,3.50641702782061e-07,,5.11944805693719e-07,,,6.33185295646113e-07,,4.83065867936637e-07,,,4.8734499471954e-07,4.446827272672529e-07,6.60681689607996e-07,,5.108177580769361e-07,4.3457630164754297e-07,,6.32265579935654e-07,,5.9517524051333e-07,5.627111364853301e-07,4.535829745883921e-07,6.1138882602902e-07,4.62394130344754e-07,3.81616632248602e-07
2DGULRy,3.39152494780514e-06,2.0763357481487e-06,3.0772224760386698e-06,1.85994320326388e-06,4.97155289084789e-06,1.85575224583523e-06,4.78147776520993e-06,1.94079363563509e-06,3.728e-06,2.158e-06,7.14031736043842e-06,3.3084980017535303e-06,2.159e-06,5.61564071476341e-06,6.612e-06,2.24233552396343e-06,3.78385747932651e-06,4.431224369961401e-06,4.65166003555397e-06,2.2616802822814603e-06,4.40675618161894e-06,5.8134110527412495e-06,8.22218362717151e-06,4.65033204650898e-06,2.39333508438018e-06,7.1710000000000005e-06,8.2386681777724e-06,6.336e-06,6.2787571571969e-06,5.69832766513094e-06,5.6094267802206e-06
2DGULRx,3.39152494780514e-06,2.0763357481487e-06,3.0772224760386698e-06,1.85994320326388e-06,4.97155289084789e-06,1.85575224583523e-06,4.78147776520993e-06,1.94079363563509e-06,3.728e-06,2.158e-06,7.14031736043842e-06,3.3084980017535303e-06,2.159e-06,5.61564071476341e-06,6.612e-06,2.24233552396343e-06,3.78385747932651e-06,4.431224369961401e-06,4.65166003555397e-06,2.2616802822814603e-06,4.40675618161894e-06,5.8134110527412495e-06,8.22218362717151e-06,4.65033204650898e-06,2.39333508438018e-06,7.1710000000000005e-06,8.2386681777724e-06,6.336e-06,6.2787571571969e-06,5.69832766513094e-06,5.6094267802206e-06
