,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
CSND,2.9317060887097906e-06,2.8729013086452965e-06,3.916095311073968e-06,4.5644049387290275e-06,5.466690365521886e-06,6.027209460726249e-06,6.73622543094961e-06,2.23526547805483e-06,2.6557252496234076e-06,3.375017465044295e-06,3.1101303285387883e-06,3.433541614443378e-06,4.444990967052458e-06,5.839641115385106e-06,7.062731926707313e-06,4.390902032652583e-06,5.567894502674498e-06,3.876782757614121e-06,5.259027962813899e-06,3.2958460189892842e-06,3.919589671047254e-06,5.431177732402478e-06,3.523385717643646e-06,5.037308056148386e-06,3.4590339431914174e-06,3.261499718352194e-06,5.4169295572132195e-06,7.948395982646171e-06,1.0635248595598741e-05,8.390401251808194e-06
GTPDPDP,,,,,,,,5.397413590213082e-08,7.441459383879682e-08,7.042433679902047e-08,,6.6274792037661e-08,7.855858677319559e-08,6.184923063066685e-08,7.058363113948196e-08,8.527403203079946e-08,5.7505118511870026e-08,5.235882020288595e-08,5.98220510246811e-08,,,1.0691092455727949e-07,,6.633315796342756e-08,5.678658116159502e-08,,,,,
3OAR120_reverse,2.076571367545911e-05,2.0659288561805347e-05,2.19866961045653e-05,2.1470882498330315e-05,2.2309812338518283e-05,2.1756160891733394e-05,2.172188655471054e-05,4.627130105073989e-06,4.6438964347514445e-06,5.763137919349263e-06,5.516445939164461e-06,5.201994598942142e-06,6.737440426579261e-06,6.644592409102356e-06,8.188442350058684e-06,6.751609897764689e-06,6.654964248808897e-06,6.668458986596898e-06,5.596298625720402e-06,6.535114318903104e-06,6.912293100868415e-06,8.283718536185004e-06,6.664052334499181e-06,6.648666601478834e-06,5.463669489531661e-06,1.8296975177241264e-05,1.7454880666832973e-05,1.753287567676024e-05,1.778301322150118e-05,1.9071792701667132e-05
NTD10,,,,,,,,2.9807600568129654e-07,3.048192075321327e-07,2.6890120193871055e-07,2.915897594139266e-07,2.654975297604876e-07,3.7425528118390954e-07,3.5667314166384576e-07,2.9411471610483233e-07,2.6254414816689835e-07,2.818837247835749e-07,2.931483999710179e-07,2.083109318983267e-07,1.9610122394246773e-07,2.7697291419888493e-07,2.8465875272410547e-07,1.3105359919740032e-07,1.9015958610428e-07,1.9984216117974338e-07,,,,,
NTD11,,,,,,,,2.9807600568129654e-07,3.048192075321327e-07,2.6890120193871055e-07,2.915897594139266e-07,2.654975297604876e-07,3.7425528118390954e-07,3.5667314166384576e-07,2.9411471610483233e-07,2.6254414816689835e-07,2.818837247835749e-07,2.931483999710179e-07,2.083109318983267e-07,1.9610122394246773e-07,2.7697291419888493e-07,2.8465875272410547e-07,1.3105359919740032e-07,1.9015958610428e-07,1.9984216117974338e-07,,,,,
PMEACPE,,,,,,,,,,,1.3244930998588773e-07,,7.153400394361699e-08,,,,5.0376542335721735e-08,,5.0637364641592176e-08,,,1.2055384996482097e-07,7.925728741921142e-08,5.079535520110753e-08,,,,,,
XTSNH,,,3.6310144612426325e-07,,,,,7.492552889142216e-07,7.930137795955009e-07,3.1264033901951187e-07,4.6258807570888825e-07,7.998681797648742e-07,5.122913529468036e-07,7.252921789299629e-07,5.037007067721086e-07,2.9505967434440823e-07,4.045943489066838e-07,5.996199944530721e-07,5.458060677917903e-07,1.1449007353874596e-07,1.1187490960315708e-07,7.501837165653323e-08,,1.460281463110822e-07,8.719771189963623e-08,1.2581349891687224e-06,1.3120270250604034e-06,9.434377039525007e-07,5.026400994603195e-07,1.6957624739025696e-07
P5CD,,,,,,,,2.5220593532678704e-07,2.606929984417668e-07,1.7586730599276885e-07,2.5634432856039743e-07,3.157959246033692e-07,2.415329339683185e-07,2.440290912583454e-07,2.225754071742936e-07,3.309938441483779e-07,2.561903539668694e-07,2.1675446062876562e-07,3.158521987341278e-07,2.812473545625716e-07,2.978581544568981e-07,2.2744705643715559e-07,3.0653593134247136e-07,2.3123106474078474e-07,1.9036928814029803e-07,,,,,
2DGULRy,1.8599432032638847e-06,1.855752245835226e-06,1.9407936356350867e-06,2.1579958320480124e-06,2.1590296476894595e-06,2.242335523963427e-06,2.2616802822814637e-06,1.0376646804619174e-06,1.5383693180133586e-06,2.390784420488441e-06,1.8642448221353614e-06,1.6544586648819457e-06,2.8079411238486864e-06,1.8922259012454019e-06,2.215085587014199e-06,2.3259068412292653e-06,2.202444132968211e-06,2.9072963976579536e-06,2.325147317172245e-06,4.11927998204615e-06,3.5847404736117847e-06,3.1674797636773974e-06,3.13893205866933e-06,2.849979822207253e-06,2.8053550463946103e-06,3.3897637701616196e-06,4.971301294041672e-06,7.140568957244632e-06,6.612265983550179e-06,8.220825004417939e-06
2DGULRx,1.8599432032638847e-06,1.855752245835226e-06,1.9407936356350867e-06,2.1579958320480124e-06,2.1590296476894595e-06,2.242335523963427e-06,2.2616802822814637e-06,1.0376646804619174e-06,1.5383693180133586e-06,2.390784420488441e-06,1.8642448221353614e-06,1.6544586648819457e-06,2.8079411238486864e-06,1.8922259012454019e-06,2.215085587014199e-06,2.3259068412292653e-06,2.202444132968211e-06,2.9072963976579536e-06,2.325147317172245e-06,4.11927998204615e-06,3.5847404736117847e-06,3.1674797636773974e-06,3.13893205866933e-06,2.849979822207253e-06,2.8053550463946103e-06,3.3897637701616196e-06,4.971301294041672e-06,7.140568957244632e-06,6.612265983550179e-06,8.220825004417939e-06
