reaction,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
DM_4CRSOL,6.813888888888889e-09,7.433333333333334e-09,1.2388888888888888e-08,1.3008333333333332e-08,1.3008333333333332e-08,1.3627777777777778e-08,1.6105555555555555e-08,1.6105555555555555e-08,1.8583333333333334e-08,1.9202777777777778e-08,1.9202777777777778e-08,2.1680555555555554e-08,2.2299999999999998e-08,2.4777777777777777e-08,2.4777777777777777e-08,2.539722222222222e-08,2.6016666666666665e-08,2.7255555555555556e-08,2.8494444444444444e-08,2.8494444444444444e-08,2.9113888888888888e-08,2.9113888888888888e-08,3.035277777777778e-08,3.097222222222222e-08,3.1591666666666667e-08,3.406944444444444e-08,3.406944444444444e-08,3.5927777777777774e-08,3.9025e-08,4.026388888888889e-08,4.088333333333334e-08
DM_5DRIB,6.8749999999999995e-09,7.500000000000001e-09,1.2500000000000001e-08,1.3125000000000002e-08,1.3125000000000002e-08,1.3749999999999999e-08,1.6250000000000003e-08,1.6250000000000003e-08,1.875e-08,1.9375e-08,1.9375e-08,2.1875000000000002e-08,2.25e-08,2.5000000000000002e-08,2.5000000000000002e-08,2.5625000000000003e-08,2.6250000000000003e-08,2.7499999999999998e-08,2.875e-08,2.875e-08,2.9375e-08,2.9375e-08,3.0625e-08,3.125e-08,3.1875e-08,3.4375e-08,3.4375e-08,3.6249999999999984e-08,3.9375e-08,4.0625e-08,4.125e-08
DM_AACALD,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DM_AMOB,6.111111111111111e-11,6.666666666666666e-11,1.1111111111111111e-10,1.1666666666666668e-10,1.1666666666666668e-10,1.2222222222222222e-10,1.4444444444444445e-10,1.4444444444444445e-10,1.6666666666666666e-10,1.7222222222222223e-10,1.7222222222222223e-10,1.9444444444444444e-10,2e-10,2.2222222222222221e-10,2.2222222222222221e-10,2.277777777777777e-10,2.3333333333333325e-10,2.444444444444444e-10,2.5555555555555553e-10,2.5555555555555553e-10,2.611111111111111e-10,2.611111111111111e-10,2.722222222222222e-10,2.7777777777777777e-10,2.8333333333333334e-10,3.0555555555555557e-10,3.0555555555555557e-10,3.222222222222222e-10,3.5e-10,3.611111111111111e-10,3.666666666666667e-10
DM_MTHTHF,1.368888888888889e-08,1.4933333333333335e-08,2.4888888888888888e-08,2.6133333333333332e-08,2.6133333333333332e-08,2.737777777777778e-08,3.235555555555555e-08,3.235555555555555e-08,3.733333333333334e-08,3.8577777777777775e-08,3.8577777777777775e-08,4.355555555555556e-08,4.48e-08,4.9777777777777776e-08,4.9777777777777776e-08,5.102222222222222e-08,5.2266666666666665e-08,5.475555555555556e-08,5.724444444444446e-08,5.724444444444446e-08,5.848888888888889e-08,5.848888888888889e-08,6.097777777777778e-08,6.222222222222223e-08,6.346666666666667e-08,6.844444444444443e-08,6.844444444444443e-08,7.217777777777776e-08,7.84e-08,8.088888888888888e-08,8.213333333333334e-08
DM_OXAM,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Ec_biomass_iJO1366_WT_53p95M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ec_biomass_iJO1366_core_53p95M,3.0555555555555554e-05,3.3333333333333335e-05,5.555555555555556e-05,5.833333333333333e-05,5.833333333333333e-05,6.111111111111111e-05,7.222222222222222e-05,7.222222222222222e-05,8.333333333333333e-05,8.61111111111111e-05,8.61111111111111e-05,9.722222222222222e-05,9.999999999999999e-05,0.00011111111111111112,0.00011111111111111112,0.00011388888888888888,0.00011666666666666667,0.00012222222222222221,0.0001277777777777778,0.0001277777777777778,0.00013055555555555555,0.00013055555555555555,0.0001361111111111111,0.0001388888888888889,0.00014166666666666668,0.0001527777777777778,0.0001527777777777778,0.0001611111111111111,0.000175,0.00018055555555555557,0.00018333333333333334
EX_12ppd_R_e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
EX_12ppd_S_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
