reaction,minimum,maximum
PMEACPE,2.611111111111111e-10,2.618866260287531e-10
P5CR,3.991270833333333e-05,0.00044589897800222767
GLUTRS,6.442222222222222e-07,2.9217285507668693e-05
PANTS,1.0400000000003e-07,1.0510084664820597e-07
ADSL2r,7.840262500000046e-05,0.0006918450154742451
UAGPT3,4.2453888888888895e-06,1.7679169010624226e-05
GART,0.0,8.913102262505915e-05
ASPO6,0.0,2.9422619818743794e-07
MOHMT,1.0400000000003e-07,1.0510084664820597e-07
DHDPS,5.049028055555556e-05,6.656237987519848e-05
PRPPS,0.0,0.0006341577583627453
SDPDS,6.800731666666667e-05,8.933118669860105e-05
GLUPRT,7.844165000000306e-05,9.402306009494346e-05
DHNPA2r,1.0778333333333797e-07,0.0005670951725803758
KDOPP,7.133866666666666e-06,1.1806261484462818e-05
DHORD2,0.0,5.18306266309211e-05
GMPS2,3.1818477777777776e-05,8.31180001637167e-05
PRFGS,6.84808055555546e-05,8.217423689646813e-05
PSCVT,4.869853888888888e-05,0.0005041939251908619
ADNK1,0.0,0.0001731945082060808
DXPS,3.858749999999829e-07,3.962218653643601e-07
DBTS,3.611111111111111e-10,3.62418538383266e-10
SHCHF,3.5927777777777774e-08,3.599556894739212e-08
UPP3S,5.451111111111111e-08,2.879469490967365e-06
GLUR_reverse,5.017277777777778e-06,0.0006352914320829386
PSP_L,0.00026100799336610915,0.00046116569158777314
OPMEACPD,2.8333333333333334e-10,2.8343357261900173e-10
AMAOTr,2.5555555555555553e-10,0.0004554956418576121
OPMEACPS,2.722222222222222e-10,2.732179267743958e-10
OPMEACPR,3.666666666666667e-10,3.667538935475248e-10
HPPK2,1.2265000000002044e-07,1.2438154134098567e-07
DTMPK,4.724416666666667e-06,0.0006349985709718552
PFK_3,0.0,0.0013983972423994196
UPPDC1,4.088333333333334e-08,3.7303146073734156e-06
DHQTi,5.1874530555555556e-05,6.731298587568546e-05
PERD,3.1591666666666667e-08,0.0005019819791958133
RBFSb,8.052777777775599e-08,8.124761243395185e-08
RBFSa,1.6353333333328529e-07,1.652648420488268e-07
THRS,9.977293333333333e-05,0.00014906341614524585
QULNS,3.480277777780711e-07,3.5174242591231675e-07
EPMEACPR,3.611111111111111e-10,3.6241629193399546e-10
ASNS2,0.0,0.00018028156334256784
EGMEACPR,3.611111111111111e-10,3.6241629193399546e-10
PE160abcpp,8.423433333333333e-06,5.5449309865719384e-05
DMPPS,0.0,3.7579514631130307e-07
UAGCVT,4.862900000000003e-06,2.0148802892992726e-05
CTPS2,2.8091874999999996e-05,8.17707704214685e-05
CS,0.00021674978932311874,0.0008424395465563184
TMPK,4.026388888888889e-08,0.00017311325820613006
ACOAD5f_reverse,8.37420560507183e-06,0.0006757213904744837
RBFK,3.406944444444498e-08,3.4085789171374254e-08
OPHHX,0.0,3.062696141927866e-08
GLUDy_reverse,0.0013649000327053268,0.002209341345611177
METS,2.7012825000000002e-05,3.33474835007941e-05
KDOCT2,5.404444444444445e-06,8.993784727918437e-06
U23GAAT,7.025777777777778e-06,1.169721463992527e-05
PAPPT3,5.017277777777778e-06,2.0642295547956886e-05
MOCOS,1.7283333333333333e-08,1.7440373479540347e-08
UAGDP,1.0761133333333333e-05,3.114626387748427e-05
METAT,1.2222777777779498e-07,3.260151088884608e-05
ADSL1r,5.233147499999974e-05,0.0006657738654742685
G6PDH2r,0.0003548723079058448,0.001288699393277637
BMOCOS,1.7283333333333333e-08,1.7424447498024805e-08
GLU5K,0.0,0.00014234158324829302
AMPMS2,3.1591666666666667e-08,3.181665151798737e-08
ACOAD2f_reverse,3.097498717939657e-05,0.00067572139047431
TYRL,3.1591666666666667e-08,3.186158610276265e-08
NNATr,3.1638888888896466e-07,0.0004929757761729353
