reaction	km_sparse
SERAT	{'C00010': [80], 'C00024': [560, 200], 'C00979': [7150], 'C00065': [110, 1170]}
QULNS	{'C05840': [], 'C03722': [], 'C00111': [200], 'C00009': []}
G3PD2_reverse	{'C00006': [3.4], 'C00005': [165], 'C00093': [210, 30], 'C00111': [170, 180]}
DBTS	{'C01909': [], 'C00011': [], 'C00009': [], 'C00008': [], 'C01037': [1.3, 0.3], 'C00002': [5, 0.4]}
TMDS	{'C00415': [], 'C00364': [], 'C00365': [], 'C00143': []}
RBFSb	{'C04732': [], 'C00255': [], 'C04332': []}
U23GAAT	{'C04652': [], 'C06022': [], 'C04688': [], 'C00229': []}
AIRC3_reverse	{'C04751': [22.6], 'C15667': []}
PGCD	{'C00197': [1200], 'C03232': [3.2], 'C00003': [], 'C00004': []}
PPBNGS	{'C00430': [1000, 800], 'C00931': []}
PSCVT	{'C01269': [11], 'C00074': [60, 21, 22, 25, 45, 88, 22500, 15, 100, 40, 150, 160], 'C00009': [2500, 4600, 2.5], 'C03175': []}
BTS5	{'C01909': [5, 2], 'C00120': [], None: [], 'C00019': [10], 'C05198': [], 'C00073': []}
KDOCT2	{'C00063': [200, 220, 330, 590, 2500, 4.8], 'C00013': [], 'C01187': [290, 390, 800, 2000, 97.9, 280, 520], None: []}
NADK	{'C00006': [], 'C00003': [1850, 2000], 'C00002': [230, 2500], 'C00008': []}
MEPCT	{'C11434': [3.14, 370, 32], 'C11435': [131], 'C00063': [61, 131, 3, 760], 'C00013': []}
CTPS2	{'C00025': [], 'C00009': [], 'C00008': [], 'C00063': [], 'C00002': [54, 116], 'C00075': [27, 71], 'C00064': [170, 354]}
NNDPR	{'C03722': [6.4], 'C00013': [], 'C00119': [15.6], 'C00011': [], 'C01185': []}
ADSS	{'C00035': [], 'C00009': [], 'C00130': [20, 21, 27, 47, 54, 59, 66, 70, 24, 24.3, 28], 'C00044': [22, 38, 53.5, 190, 22.1, 26], 'C00049': [10, 230, 191], 'C03794': []}
GARFT	{'C03838': [12.2], 'C04376': [], 'C00234': [84.8], 'C00101': []}
KDOPS	{'C01112': [7.73, 20, 26, 9.1, 19], 'C04478': [], 'C00074': [6.5, 4.43, 6], 'C00009': []}
CHRPL	{'C00156': [], 'C00251': [9.7, 28, 29], 'C00022': []}
DHQTi	{'C02637': [], 'C00944': [15, 440, 18]}
DHORTS_reverse	{'C00438': [1700, 4000, 15000, 470], 'C00337': [75.6]}
