id	name	formula	charge	compartment	kegg_id
4fe4s	[4Fe-4S] iron-sulfur cluster	S4Fe4	2	Cytosol	C00824
2fe2s	[2Fe-2S] iron-sulfur cluster	S2Fe2	2	Cytosol	C00824
octapb	octanoate (protein bound)	C8H15O	1	Cytosol	C06423
lipopb	lipoate (protein bound)	C8H13OS2	1	Cytosol	C00725
oxadpcoa	3-Oxoadipyl-CoA	C27H37N7O20P3S	-5	Cytosol	C02232
10fthf	10-Formyltetrahydrofolate	C20H21N7O7	-2	Cytosol	C00234
12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	C27H52O5	0	Cytosol, Periplasm	C00641
12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	C31H60O5	0	Cytosol, Periplasm	C00641
12dgr141	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	C31H56O5	0	Cytosol, Periplasm	C00641
12dgr160	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	C35H68O5	0	Cytosol, Periplasm	C00641
12dgr161	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	C35H64O5	0	Cytosol, Periplasm	C00641
12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	C39H76O5	0	Cytosol, Periplasm	C00641
12dgr181	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)	C39H72O5	0	Cytosol, Periplasm	C00641
12ppd_R	(R)-Propane-1,2-diol	C3H8O2	0	Extra-organism, Cytosol, Periplasm	C02912
12ppd_S	(S)-Propane-1,2-diol	C3H8O2	0	Extra-organism, Cytosol, Periplasm	C02917
13dpg	3-Phospho-D-glyceroyl phosphate	C3H4O10P2	-4	Cytosol	C00236
14glucan	1,4-alpha-D-glucan	C36H62O31	0	Extra-organism, Cytosol, Periplasm	C00718
15dap	1,5-Diaminopentane	C5H16N2	2	Extra-organism, Cytosol, Periplasm	C01672
1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	C15H29O7P1	-2	Cytosol, Periplasm	C00681
1hdec9eg3p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	C19H35O7P1	-2	Cytosol, Periplasm	C00681
1hdecg3p	1-hexadecanoyl-sn-glycerol 3-phosphate	C19H37O7P1	-2	Cytosol, Periplasm	C00681
1odec11eg3p	1-octadec-11-enoyl-sn-glycerol 3-phosphate	C21H39O7P1	-2	Cytosol, Periplasm	C00681
1odecg3p	1-octadecanoyl-sn-glycerol 3-phosphate	C21H41O7P1	-2	Cytosol, Periplasm	C00681
1pyr5c	1-Pyrroline-5-carboxylate	C5H6NO2	-1	Cytosol	C03912
1tdec7eg3p	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H31O7P1	-2	Cytosol, Periplasm	C00681
1tdecg3p	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H33O7P1	-2	Cytosol, Periplasm	C00681
23dappa	2,3-diaminopropionate	C3H9N2O2	1	Extra-organism, Cytosol, Periplasm	C06393
23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate	C7H7O4	-1	Cytosol	C04171
23dhb	2,3-Dihydroxybenzoate	C7H5O4	-1	Cytosol	C00196
23dhba	(2,3-Dihydroxybenzoyl)adenylate	C17H17N5O10P	-1	Cytosol	C04030
23dhbzs	2,3-dihydroxybenzoylserine	C10H10NO6	-1	Cytosol	
23dhdp	2,3-Dihydrodipicolinate	C7H5NO4	-2	Cytosol	C03340
23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	Cytosol	C04272
23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate	C6H11O4	-1	Cytosol	C06007
23doguln	2,3-Dioxo-L-gulonate	C6H7O7	-1	Cytosol	C04575
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H15N4O12P	-4	Cytosol	C04823
25dkglcn	2,5-diketo-D-gluconate	C6H7O7	-1	Cytosol	C02780
25drapp	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	C9H14N5O8P	-2	Cytosol	C01304
26dap_LL	LL-2,6-Diaminoheptanedioate	C7H14N2O4	0	Cytosol	C00666
26dap_M	meso-2,6-Diaminoheptanedioate	C7H14N2O4	0	Extra-organism, Cytosol, Periplasm	C00680
2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P1	0	Cytosol, Periplasm	C05973
2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	C19H40NO7P1	0	Cytosol, Periplasm	C05973
2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C19H38NO7P1	0	Cytosol, Periplasm	C05973
2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P1	0	Cytosol, Periplasm	C05973
2agpe161	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	C21H42NO7P1	0	Cytosol, Periplasm	C05973
2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	C23H48NO7P1	0	Cytosol, Periplasm	C05973
2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P1	0	Cytosol, Periplasm	C05973
2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	C18H36O9P1	-1	Cytosol, Periplasm	
2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H40O9P1	-1	Cytosol, Periplasm	
2agpg141	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C20H38O9P1	-1	Cytosol, Periplasm	
2agpg160	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	C22H44O9P1	-1	Cytosol, Periplasm	
2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H42O9P1	-1	Cytosol, Periplasm	
