	under saturation	backward flux
ACGS	0.9978636565178202	0.9999999918092516
ADSK	0.9999412691961632	0.9991392006110257
ADSS	0.9999398625123155	0.9906936642131746
ASP1DC	0.9655329833371377	0.9999999982191033
CYTK1	0.9996165080317059	0.9926954043405318
DHORTS_reverse	0.10029749256268594	0.9999640563112479
G3PD2_reverse	0.5983167559296098	0.999999799934057
GLUR_reverse	0.9831029185867896	0.9986630380386897
MDH	0.8650967870684494	0.010514575213908448
NADK	0.9033397249313708	0.9999998758121877
NNDPR	0.9685051292728167	0.9999996916989906
PGAMT_reverse	0.9465020576131687	0.6765296136632635
PGI	0.8957821457821458	0.9685314356478955
SERAT	0.14416101034044934	0.7971565992904119
UAGCVT	0.9977805140800358	0.9999607242741082
UAGDP	0.9995495077709909	-1.3286882105450655
