	under saturation	backward flux
ACGS	0.9988624589062709	0.9999999855615557
ADSK	0.9999958240708906	0.999983569199816
ADSS	0.9998653160308023	0.9992846427030428
ASP1DC	0.9840228547243678	0.9999999991899793
CYTK1	0.9985211212791745	0.9924291974907113
DHORTS_reverse	0.016757389414234495	0.9995414414962304
G3PD2_reverse	0.827709657209344	0.9999505194340138
GLUR_reverse	0.9890474610023232	0.9991386016893572
MDH	0.954175704989154	-46.24823928189231
NADK	0.9330814616452773	0.9999989256670534
NNDPR	0.8752904144495242	0.9999986492197407
PGAMT_reverse	0.8532731376975169	0.015896972785060404
PGI	0.8433364112034473	0.9497536609341397
SERAT	0.34562087986008344	0.7856214248088038
UAGCVT	0.9993137814926494	0.9999878754007095
UAGDP	0.9992336704181756	-0.7625714523775029
