reaction	EC	subsystem	kcat
23PDE2pp	3.1.4.16	Nucleotide Salvage Pathway	NaN
23PDE4pp	3.1.4.16	Nucleotide Salvage Pathway	NaN
23PDE7pp	3.1.4.16	Nucleotide Salvage Pathway	NaN
23PDE9pp	3.1.4.16	Nucleotide Salvage Pathway	NaN
2AGPEAT120	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPEAT140	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPEAT141	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPEAT160	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPEAT161	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPEAT180	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPEAT181	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPGAT120	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPGAT140	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPGAT141	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPGAT160	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPGAT161	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPGAT180	2.3.1.40	Glycerophospholipid Metabolism	NaN
2AGPGAT181	2.3.1.40	Glycerophospholipid Metabolism	NaN
2DGULRGy	1.1.1.215	Alternate Carbon Metabolism	NaN
3HAD100	4.2.1.60	Cell Envelope Biosynthesis	NaN
3HAD120	4.2.1.61	Cell Envelope Biosynthesis	NaN
3HAD121	4.2.1.61	Cell Envelope Biosynthesis	NaN
3HAD140	4.2.1.61	Cell Envelope Biosynthesis	NaN
3HAD141	4.2.1.61	Cell Envelope Biosynthesis	NaN
3HAD160	4.2.1.61	Cell Envelope Biosynthesis	NaN
3HAD161	4.2.1.61	Cell Envelope Biosynthesis	NaN
3HAD180	4.2.1.61	Cell Envelope Biosynthesis	NaN
3HAD181	4.2.1.61	Cell Envelope Biosynthesis	NaN
3HAD40	4.2.1.58	Cell Envelope Biosynthesis	NaN
3HAD60	4.2.1.58	Cell Envelope Biosynthesis	NaN
3HAD80	4.2.1.58	Cell Envelope Biosynthesis	NaN
3OAR100	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR120	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR121	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR140	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR141	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR160	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR161	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR180	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR181	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR40	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR60	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAR80	1.1.1.100	Cell Envelope Biosynthesis	NaN
3OAS100	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS120	2.3.1.41	Cell Envelope Biosynthesis	NaN
3OAS121	2.3.1.41	Cell Envelope Biosynthesis	NaN
